pfaf_id,bws_annual_mean_raw,bws_annual_mean_score,bws_annual_max_raw,bws_annual_max_score,bws_summer_mean_raw,bws_summer_mean_score,n_arid_months,n_raw_masked_months,bwd_annual_mean_raw,bwd_annual_mean_score,iav_annual_mean_raw,iav_annual_mean_score,is_arid,bws_category,bws_annual_label,pfaf_prefix
284680,0.1732688866926767,1.6418352780258374,0.3098753756678449,2.63168811531985,0.18739531986049918,1.795384064579595,0,0,0.0818852323508436,1.117141811994686,0.2953354732009843,1.1813418928039374,False,Low-Medium,Low-Medium (10-20%),2
284690,0.156345884750089,1.5022746728531926,0.2782637889192466,2.476453179795519,0.16130104368250128,1.5834647063742544,0,0,0.07101887003877906,1.0512399800706387,0.24342079994331614,0.9736831997732649,False,Low-Medium,Low-Medium (10-20%),2
284700,0.08787491609546576,0.634193703672257,0.2444551950648842,2.289570065254848,0.21435200185615522,2.090075075955775,0,0,0.037815865721972396,0.5556218629753162,0.3099815710849508,1.2399262843398036,False,Low,Low (<10%),2
284801,0.6277015428639645,1.911119230130873,2.218442079517532,5.0,1.94768405881147,5.0,0,0,0.3621661562156613,1.7065307482810954,0.47964049770158884,1.9185619908063554,False,Low-Medium,Low-Medium (10-20%),2
284802,0.04373068980922149,0.3839025096992182,0.1659632789885907,1.7308640663824977,0.13444911909125212,1.3967165109158135,0,0,0.019023887747800835,0.3172958747782895,0.43019431981513795,1.7207772792605518,False,Low,Low (<10%),2
284803,0.26414978719128396,1.4553453961700706,1.092802822788871,4.449961210218639,0.8139342687782668,3.9856034375192535,0,0,0.10833693525227471,0.8993577261163327,0.44991971891377,1.79967887565508,False,Low-Medium,Low-Medium (10-20%),2
284804,4.19147972462431,3.5698310409094316,19.32943642566028,5.0,13.068755488594968,5.0,0,0,1.4252460310772317,2.658525859817965,0.4947885187349505,1.979154074939802,False,High,High (40-80%),2
284805,0.11003898892550103,0.7970502009017236,0.5299130418239516,3.4057556343508697,0.3636672078297096,2.7880765541580175,0,0,0.04410407061576412,0.4954609596589854,0.5222475218620256,2.0889900874481024,False,Low,Low (<10%),2
284806,2.4104502761648643,4.011482875726106,9.216325961120711,5.0,6.596829572033499,5.0,0,0,0.9270463803880226,2.657409701231518,0.44598585194524426,1.7839434077809775,False,Extremely High,Extremely High (>80%),2
284807,1.0135769904809868,2.6308088871922912,4.424537695439056,5.0,3.1408173693255392,5.0,0,0,0.3734193120123404,1.8885748105447064,0.4322835825404036,1.7291343301616144,False,Medium-High,Medium-High (20-40%),2
284808,2.956445256923898,3.717662923898267,10.223583473007984,5.0,8.142471969883726,5.0,0,0,1.2899264103048178,2.6613494626519048,0.44821601773118763,1.7928640709247505,False,High,High (40-80%),2
284809,2.282498661969916,3.246582228004779,8.977903710580316,5.0,6.731483415950341,5.0,0,0,0.9534213161985378,2.361939741127624,0.5629510478692245,2.2518041914768983,False,High,High (40-80%),2
284900,0.17308736801773858,1.1311079056750006,0.5682283651536582,3.506470850614235,0.5215265023758895,3.3708518460522723,0,0,0.06697922146470908,0.7322484528394817,0.37797034791550227,1.511881391662009,False,Low-Medium,Low-Medium (10-20%),2
291100,,,,,,,12,12,,,1.78215875852173,5.0,True,Arid,Arid and Low Water Use,2
291110,,,,,,,12,12,,,1.492819340485707,5.0,True,Arid,Arid and Low Water Use,2
291121,0.0016186612961848832,0.0,0.0019518800031859,0.0,0.0017097393453232334,0.0,0,0,0.0016017017107319502,0.032034034214639934,0.8396316744198807,3.358526697679523,False,Low,Low (<10%),2
291122,,,,,,,12,12,,,0.9575151082826672,3.8300604331306687,True,Arid,Arid and Low Water Use,2
